task,comment,topic,pred_topic
clinc,how would you say fly in italian,translate,translate words
clinc,what's the spanish word for pasta,translate,translate words
clinc,how would they say butter in zambia,translate,translate words
clinc,how do you say fast in spanish,translate,translate words
clinc,what's the word for trees in norway,translate,translate words
clinc,how does one say wonderful in german,translate,translate words
clinc,how do they say tacos in mexico,translate,translate words
clinc,how would one say cruiser in china,translate,translate words
clinc,what's the french word you use for potato,translate,translate words
clinc,what would the word for grass be in finland,translate,translate words
clinc,how do you say please in french,translate,translate words
clinc,how would i say nice to meet you if i were russian,translate,translate words
clinc,what is the right way to say excuse me in spanish,translate,translate words
clinc,how do i say i'm sorry in chinese,translate,translate words
clinc,how would i say thank you if i were mexican,translate,translate words
clinc,how would i say what is your name if i were french,translate,translate words
clinc,how would i say i must be going now if i were german,translate,translate words
clinc,how do i say bathroom in italian,translate,translate words
clinc,how might i say hello if i were scottish,translate,greetings
clinc,i must know how to say thank you in german,translate,translate words
clinc,how would i say i love you if i were german,translate,translate words
clinc,how would i say how are you today if i were mexican,translate,translate words
clinc,how would i say where is the bathroom if i were korean,translate,translate words
clinc,how would i say i need directions if i were french,translate,translate words
clinc,how would i say i am lost if i were japanese,translate,translate words
clinc,english to spanish for dog,translate,translate words
clinc,what is dog in spanish,translate,translate words
clinc,how do you say dog in spanish,translate,translate words
clinc,dog in spanish,translate,translate words
clinc,what's the spanish word for dog,translate,translate words
clinc,can you please provide me with assistance in moving money from one account to another,transfer,money transfer
clinc,i would like help moving money between accounts,transfer,money transfer
clinc,can you assist me in moving money from one account to another,transfer,money transfer
clinc,i would like help moving money from one account to another,transfer,money transfer
clinc,i would like assistance moving money from one account to another,transfer,money transfer
clinc,can i move some money around,transfer,money transfer
clinc,can i make a transfer between my accounts,transfer,money transfer
clinc,i need to make a transfer of my money,transfer,money transfer
clinc,can i move some money between my two accounts,transfer,money transfer
clinc,i would like to distribute some money between my accounts,transfer,money transfer
clinc,i would like to transfer $100 from my checking to saving account,transfer,money transfer
clinc,help me transfer $100 from my checking to saving account,transfer,money transfer
clinc,transfer $100 from my checking to saving account,transfer,money transfer
clinc,can you please help me move $100 from my checking to saving account,transfer,money transfer
clinc,please move $100 from my checking to saving account,transfer,money transfer
clinc,"transfer seventeen dollars from rbs to woodforest account, please",transfer,money transfer
clinc,"send twelve dollars between cabelas and bank of london accounts, please",transfer,money transfer
clinc,"transfer ninety dollars between glacier checking and farmers accounts, please",transfer,money transfer
clinc,transfer seventy dollars between national and citizens accounts,transfer,money transfer
clinc,transfer four and sixty seven dollars from bank of oklahoma checking to security bank account,transfer,money transfer
clinc,how much money can i transfer today,transfer,money transfer
clinc,add funds to the retirement account from the pnc account only,transfer,money transfer
clinc,would you move 100 dollars from the checking and put it into savings,transfer,money transfer
clinc,i would like to put 100 dollars from the checking into the savings account now,transfer,money transfer
clinc,please transfer $5000 to money market from checking account,transfer,money transfer
clinc,i need $360 transfered from savings to checking account,transfer,money transfer
clinc,make an immediate transfer of ten thousand from money market to checking,transfer,money transfer
clinc,i'd like to transfer $400 from household to savings account,transfer,money transfer
clinc,transer $800 from my checking to savings account,transfer,money transfer
clinc,set a 4 minute timer,timer,setting timers
clinc,set a 2 minute timer,timer,setting timers
clinc,set a 3 minute timer,timer,setting timers
clinc,set a 5 minute timer,timer,setting timers
clinc,set a 1 minute timer,timer,setting timers
clinc,start the timer,timer,setting timers
clinc,start a timer please,timer,setting timers
clinc,i need to start a timer,timer,setting timers
clinc,i need a timer to be set,timer,setting timers
clinc,could you set a timer,timer,setting timers
clinc,set a timer,timer,setting timers
clinc,i need to have a timer for 10 minutes,timer,setting timers
clinc,make a 10 minute timer,timer,setting timers
clinc,give me a 10 minute timer,timer,setting timers
clinc,will you create a timer for me,timer,setting timers
clinc,please begin a timer,timer,setting timers
clinc,is it possible to set a timer,timer,setting timers
clinc,i want a timer set for 10 minutes,timer,setting timers
clinc,set a timer for 10 minutes,timer,setting timers
clinc,can i get a timer set,timer,setting timers
clinc,i need to use a timer,timer,setting timers
clinc,set a timer to go off in 1 hour,timer,setting timers
clinc,i need a timer for 45 minutes,timer,setting timers
clinc,in 15 minutes the timer should go off,timer,setting timers
clinc,start the timer now,timer,setting timers
clinc,set a timer for 30 minutes,timer,setting timers
clinc,set a timer for 5 minutes from now,timer,setting timers
clinc,let me know when it's been 5 minutes,timer,setting timers
clinc,can you set the timer to 20 minutes,timer,setting timers
clinc,define antebellum,definition,word definitions
clinc,define discontent,definition,word definitions
clinc,what is the meaning of incandescent,definition,word definitions
clinc,what does confrontation mean,definition,word definitions
clinc,what does serendipity mean,definition,word definitions
clinc,what's the definition of luminescent,definition,word definitions
clinc,what is the definiton of auspicious,definition,word definitions
clinc,what does circuitous mean,definition,word definitions
clinc,what's the definition of unencumbered,definition,word definitions
clinc,what does adulation mean,definition,word definitions
clinc,what does assiduous mean,definition,word definitions
clinc,what does amicable mean,definition,word definitions
clinc,what's the definition of remunerative,definition,word definitions
clinc,what does anachronistic mean,definition,word definitions
clinc,what's the definition of idiosyncratic,definition,word definitions
clinc,what does yolo mean,definition,word definitions
clinc,can you tell me the meaning of fluctuate,definition,word definitions
clinc,what does the word polynomial mean,definition,word definitions
clinc,what does ferrari mean,definition,word definitions
clinc,what is the meaning of the word girn,definition,word definitions
clinc,what does mature mean,definition,word definitions
clinc,i'd like to know what bitcoin means,definition,word definitions
clinc,"i heard some woman say she was going to yerd me, what's that mean",definition,word definitions
clinc,can you tell me what obsolescence means,definition,word definitions
clinc,please explain the word catastrophic to me,definition,word definitions
clinc,what's the meaning of naff,definition,word definitions
clinc,can you tell me what dendrofilous means,definition,word definitions
clinc,what does peer-to-peer actually mean,definition,word definitions
clinc,define epicurean,definition,word definitions
clinc,what does epicurean mean,definition,word definitions
clinc,would you let me know what the meaning is life is,meaning of life,meaning of life
clinc,would you let me know what is the point of life,meaning of life,meaning of life
clinc,"right now, i need to know the meaning of life",meaning of life,meaning of life
clinc,define the meaning of life for me,meaning of life,meaning of life
clinc,i want to know the meaning of life,meaning of life,meaning of life
clinc,would you explain the meaning of life,meaning of life,meaning of life
clinc,i need you to tell me the meaning of life,meaning of life,meaning of life
clinc,i need to know what the meaning of life is now,meaning of life,meaning of life
clinc,tell me what the meaning of life is,meaning of life,meaning of life
clinc,i need to know what the point of life is,meaning of life,meaning of life
clinc,let me know what the point of life is,meaning of life,meaning of life
clinc,would you provide me with what the point of life is,meaning of life,meaning of life
clinc,tell me what the point of life is,meaning of life,meaning of life
clinc,what is the reason humans even exist,meaning of life,meaning of life
clinc,do you think our lives have purpose or meaning,meaning of life,meaning of life
clinc,can you tell me about the meaning of life,meaning of life,meaning of life
clinc,can you tell me what the meaning of life is,meaning of life,meaning of life
clinc,what do you know about the meaning of life,meaning of life,meaning of life
clinc,i would like information on the meaning of life,meaning of life,meaning of life
clinc,what information can you give me on the meaning of life,meaning of life,meaning of life
clinc,what is the core meaning of life,meaning of life,meaning of life
clinc,what do you know about lifes meaning,meaning of life,meaning of life
clinc,is there any consensun regarding lifes true meaning,meaning of life,meaning of life
clinc,is there a reason beyond biology about why humans are alive,meaning of life,meaning of life
clinc,do you think being alive has any meaning,meaning of life,meaning of life
clinc,is there meaning to life,meaning of life,meaning of life
clinc,is there meaning in life,meaning of life,meaning of life
clinc,what is the answer to life,meaning of life,meaning of life
clinc,what's the answer to it all,meaning of life,meaning of life
clinc,what's life mean to you,meaning of life,meaning of life
clinc,i would like to change my insurance policy,insurance change,switching insurance plans
clinc,can i edit my insurance policy,insurance change,switching insurance plans
clinc,i am interested in a new insurance plan,insurance change,switching insurance plans
clinc,i really would like to get a new insurance plan,insurance change,switching insurance plans
clinc,i am in the market for a new insurance plan,insurance change,switching insurance plans
clinc,is there a way to alter my insurance policy,insurance change,switching insurance plans
clinc,how can i change to new insurance plan,insurance change,switching insurance plans
clinc,help me find a new insurance plan,insurance change,switching insurance plans
clinc,can i update my insurance policy,insurance change,switching insurance plans
clinc,who do i contact about updating my insurance,insurance change,insurance plan benefits
clinc,can you help me change my insurance policy,insurance change,switching insurance plans
clinc,"i need to change my insurance policy, do you know how",insurance change,switching insurance plans
clinc,what are the steps to change my insurance policy,insurance change,switching insurance plans
clinc,do you know how i can change my insurance policy,insurance change,switching insurance plans
clinc,how to i change the policy on my insurace,insurance change,switching insurance plans
clinc,what do i need to do to get new insurance,insurance change,switching insurance plans
clinc,do you know how i get new insurance,insurance change,switching insurance plans
clinc,what is the protocol for getting new insurance,insurance change,switching insurance plans
clinc,let me know the process for new insurance,insurance change,switching insurance plans
clinc,i want to sign up for a new allstate insurance plan,insurance change,switching insurance plans
clinc,i need to sign up for a new allstate plan,insurance change,switching insurance plans
clinc,what is the procedure for signing up for a new allstate plan,insurance change,switching insurance plans
clinc,how do i sign up for a new allstatedplan,insurance change,switching insurance plans
clinc,i want to change to a new allstate insurance plan,insurance change,switching insurance plans
clinc,i want a new insurance plan,insurance change,switching insurance plans
clinc,what if i want to switch insurance plans,insurance change,switching insurance plans
clinc,is there a way to get a new insurance plan,insurance change,switching insurance plans
clinc,i want to switch to a new insurance plan,insurance change,switching insurance plans
clinc,how do i switch insurance plans,insurance change,switching insurance plans
clinc,phone number to state farm to change insurance,insurance change,switching insurance plans
clinc,"can you help me find my phone, please",find phone,phone location
clinc,could you help me locate my phone,find phone,phone location
clinc,can you help me locate my phone,find phone,phone location
clinc,"could you help me locate my phone, please",find phone,phone location
clinc,"can you help me locate my phone, please",find phone,phone location
clinc,"i cannot locate my phone, can you help me",find phone,phone location
clinc,i need help locating my phone,find phone,phone location
clinc,can you assist me with finding my phone,find phone,phone location
clinc,i lost my phone can you help me,find phone,phone location
clinc,where the bleep did i put my bleeping phone,find phone,phone location
clinc,is my phone somewhere around here,find phone,phone location
clinc,"help, i've lost my cellphone!",find phone,phone location
clinc,i seem to have lost my phone,find phone,phone location
clinc,do you know my phone's location,find phone,phone location
clinc,can you find my phone,find phone,phone location
clinc,where's my phone at,find phone,phone location
clinc,what's my phone's location,find phone,phone location
clinc,can you help me hunt for my missing cellphone,find phone,phone location
clinc,locate my cellphone in this room,find phone,phone location
clinc,where did i last put my phone,find phone,phone location
clinc,find my cellphone for me!,find phone,phone location
clinc,where did i place my phone,find phone,phone location
clinc,where's my phone,find phone,phone location
clinc,my phone isn't where i left it,find phone,phone location
clinc,i think i've misplaced my phone,find phone,phone location
clinc,i've lost my phone somewhere,find phone,phone location
clinc,i think i lost my phone,find phone,phone location
clinc,would you know where to find my phone,find phone,phone location
clinc,please assist me in looking for my phone,find phone,phone location
clinc,look for my phone with me,find phone,phone location
clinc,is there a travel alert in spain,travel alert,travel alerts inquiry
clinc,travel alert in cuba,travel alert,travel alerts inquiry
clinc,alerts for travel in colombia,travel alert,travel alerts inquiry
clinc,are there travel alerts in mexico,travel alert,travel alerts inquiry
clinc,mexico travel alerts,travel alert,travel alerts inquiry
clinc,have there been any travel alerts for the us,travel alert,travel alerts inquiry
clinc,are there any travel advisories for the us,travel alert,travel alerts inquiry
clinc,what are the travel alerts for the us,travel alert,travel alerts inquiry
clinc,are there travel alerts for the us,travel alert,travel alerts inquiry
clinc,what travel alerts are in effect for the us,travel alert,travel alerts inquiry
clinc,i want to know if i will be safe if i travel to europe,travel alert,travel alerts inquiry
clinc,would i be safe if i traveled to japan,travel alert,travel alerts inquiry
clinc,is it safe to go to north korea,travel alert,travel alerts inquiry
clinc,will i be safe going to south america,travel alert,travel alerts inquiry
clinc,am i safe to go to africa,travel alert,travel alerts inquiry
clinc,which countries have travel alerts,travel alert,travel alerts inquiry
clinc,is it safe in italy,travel alert,travel alerts inquiry
clinc,what are the travel conditions for haiti,travel alert,travel alerts inquiry
clinc,are there any travel bulletins about haiti,travel alert,travel alerts inquiry
clinc,note any travel alerts for haiti,travel alert,travel alerts inquiry
clinc,find travel alerts for haiti,travel alert,travel alerts inquiry
clinc,does the state department say anything about traveling to haiti,travel alert,travel alerts inquiry
clinc,is there a travel alert for france,travel alert,travel alerts inquiry
clinc,is it safe for me to go to turkey,travel alert,travel alerts inquiry
clinc,is it safe to go to serbia,travel alert,travel alerts inquiry
clinc,safety concerns for malaysia,travel alert,travel alerts inquiry
clinc,is it safe for me to visit malawi,travel alert,travel alerts inquiry
clinc,is travel to monterrey safe now,travel alert,travel alerts inquiry
clinc,is it safe for people to travel to pakistan,travel alert,travel alerts inquiry
clinc,can people safely travel to cambodia,travel alert,travel alerts inquiry
clinc,please help me set up a vacation request,pto request,vacation request process
clinc,how does one go about putting in a vacation request,pto request,vacation request process
clinc,how do i put in a vacation request,pto request,vacation request process
clinc,walk me through on how to make a vacation request,pto request,vacation request process
clinc,please put in a vacation request,pto request,vacation request process
clinc,how is a vacation request done,pto request,vacation request process
clinc,how is a vacation request made,pto request,vacation request process
clinc,what is the process of making a vacation request,pto request,vacation request process
clinc,how would one make a vacation request,pto request,vacation request process
clinc,can i put in a pto request for september 1st to september 8th,pto request,vacation request process
clinc,"if i want to make a vacation request, how do i do it",pto request,vacation request process
clinc,can i put in a pto request for august 1st to august 10th,pto request,vacation request process
clinc,can i put in a pto request for january 4th to january 9th,pto request,vacation request process
clinc,can i put in a pto request for december 3rd to december 10th,pto request,vacation request process
clinc,can i put in a pto request for december 25th to january 1st,pto request,vacation request process
clinc,can i take pto from the end of the month to the 5th of the next month,pto request,vacation request process
clinc,can you help me plan a vacation,pto request,tourist attraction suggestion
clinc,it it possible to take pto from the 8th to the 11th,pto request,vacation request process
clinc,is it ok if i use some of my pto on may 24th to may 29th,pto request,vacation request process
clinc,what do i do to set up a vacation,pto request,vacation request process
clinc,i need to use pto on october 5th to october 10th,pto request,vacation request process
clinc,how do i plan a vacation,pto request,vacation request process
clinc,can i put in a pto request for monday to wednesday,pto request,vacation request process
clinc,can i purchase a vacation using this,pto request,vacation request process
clinc,how do i get help with a vacation itinerary,pto request,tourist attraction suggestion
clinc,how do i request a vacation,pto request,vacation request process
clinc,i'd like to request a vacation,pto request,vacation request process
